Pair,Entry Date,Exit Date,Direction,Entry Spread,Exit Spread,P&L ($),Return on Committed Capital,Exit Reason
DTE_AEP,2022-03-04,2022-11-21,Long Spread,-0.6035180068507131,-0.6957342090170853,-9.2216,-0.0922,stop_loss
DTE_AEP,2022-11-22,2022-12-30,Long Spread,-0.6970400731504522,-0.6714417873818315,2.5598,0.0256,forced_closure
KIM_O,2022-02-10,2022-04-06,Short Spread,-2.9531619789287182,-3.0520977260559348,9.8936,0.0989,reversion
KIM_O,2022-05-02,2022-05-20,Short Spread,-2.9443312396041934,-3.069842530304719,12.5511,0.1255,reversion
KIM_O,2022-06-16,2022-09-15,Long Spread,-3.1418523816959847,-3.03077099855205,11.1081,0.1111,reversion
KIM_O,2022-10-14,2022-12-30,Short Spread,-2.925782934466962,-3.020484160657166,9.4701,0.0947,forced_closure
T_VZ,2022-02-02,2022-03-04,Long Spread,-3.937768829913334,-4.008498541012516,-7.073,-0.0707,stop_loss
T_VZ,2022-03-07,2022-04-22,Long Spread,-4.007129525508578,-3.829327303529444,17.7802,0.1778,reversion
T_VZ,2022-04-25,2022-04-29,Short Spread,-3.7727522113910434,-3.6590770311866514,-11.3675,-0.1137,stop_loss
T_VZ,2022-05-02,2022-08-31,Short Spread,-3.6426783304584744,-3.5582511386598448,-8.4427,-0.0844,stop_loss
T_VZ,2022-09-01,2022-10-11,Short Spread,-3.5605344250398274,-3.4690308697790457,-9.1504,-0.0915,stop_loss
T_VZ,2022-10-12,2022-10-21,Short Spread,-3.4682679247010544,-3.29563698259227,-17.2631,-0.1726,stop_loss
T_VZ,2022-10-24,2022-12-30,Short Spread,-3.303054448118152,-3.4159073327117078,11.2853,0.1129,forced_closure
UNH_CVS,2022-01-07,2022-03-30,Long Spread,1.5694718686921973,1.7004820308023634,13.101,0.131,reversion
UNH_CVS,2022-04-29,2022-05-12,Short Spread,1.745693532291975,1.663640082855685,8.2053,0.0821,reversion
UNH_CVS,2022-06-21,2022-10-07,Short Spread,1.7460042633152737,1.8246649177282421,-7.8661,-0.0787,stop_loss
UNH_CVS,2022-10-10,2022-12-30,Short Spread,1.8127290155449867,1.8163262072873119,-0.3597,-0.0036,forced_closure
HD_LOW,2022-01-14,2022-02-28,Long Spread,0.5011531017498063,0.4286124582304778,-7.2541,-0.0725,stop_loss
HD_LOW,2022-03-01,2022-12-30,Long Spread,0.44056092339180974,0.5406004068556882,10.0039,0.1,forced_closure
JPM_BAC,2022-01-14,2022-03-01,Long Spread,2.8415766087094267,2.763331477722739,-7.8245,-0.0782,stop_loss
JPM_BAC,2022-03-02,2022-09-26,Long Spread,2.77480803258896,2.701050446334279,-7.3758,-0.0738,stop_loss
JPM_BAC,2022-09-27,2022-12-30,Long Spread,2.700597651128481,2.8977941736487987,19.7197,0.1972,forced_closure
